Stop,Ridership,Downtown
5400 S / 2700 W,11,0
9th Ave / L St,11,0
300 W / 1100 S,11,0
3500 S / Royal Scott Dr,11,0
4500 S @ 1285 E,11,0
Redwood Rd / Sunset Ave,11,0
900 S / 1500 E,11,0
900 E / 4125 S,11,0
3300 S @ 801 E,11,0
Murray Holladay Rd @ 2225 E,11,0
600 N / 1300 W,11,0
3300 S / Melbourne St / Honeycut Rd,11,0
West Temple / South Temple,11,0
State St @ 1120 S,11,0
3000 E @ 6531 S,11,0
3500 S / Chatterleigh Rd,11,0
State St @ 2810 S,11,0
3500 S / Centennial Rd,11,0
500 E / Cleveland Ave,11,0
Mario Capecchi / Research Rd,11,0
Sugar Factory Road Station,11,0
3900 S @ 30 E,11,0
State St @ 4540 S,11,0
4000 W @ 4359 S,11,0
Redwood Rd / 6900 S,11,0
300 W / Paxton Ave,11,0
5400 S / Morning Breeze Dr,11,0
5600 W @ 4238 S,11,0
Wakara Way / Chipeta Way,11,0
1300 E @ 2705 S,11,0
200 E / South Temple,10,1
300 W / 200 S,10,1
300 W / 100 S,10,1
900 W / 2000 S,10,0
California Ave / 1000 W,10,0
1300 E @ 3179 S,10,0
200 N / 400 W,10,0
Meadowbrook Expwy @ 950 W,10,0
5600 W / 4100 S,10,0
4715 S @ 4137 W,10,0
Jordan Landing Blvd. @ 7586 S,10,0
4500 S @ 685 E,10,0
3500 S / 3900 W,10,0
Constitution Blvd @ 3662 S,10,0
900 E / 3700 S,10,0
Murray Blvd / Allendale Dr,10,0
500 E / Wendell Dr,10,0
Highland Dr @ 8887 S,10,0
Pioneer Rd / 1700 S,10,0
Wakara Way / 400 S,10,0
400 S / Concord St,10,0
M St / 6th Ave,10,0
3500 S / Lilloet St,10,0
State St @ 5270 S,10,0
400 S @ 902 W,10,0
2200 W @ 4130 S,10,0
Highland Dr @ 7411 S,10,0
Redwood Rd / Sunrise Pl,10,0
3300 S @ 615 E,10,0
4500 S @ 530 E,10,0
State St @ 1385 S,10,0
1300 E @ 1633 S,10,0
900 E / Vine St south,10,0
Guardsman Way / Sunnyside Ave,10,0
Highland Dr @ 4435 S,10,0
3300 S / 1100 E,10,0
Fort Union Blvd @ 720 E,10,0
400 S @ 175 W,9,1
200 S / 200 W,9,1
Redwood Rd / Leland Dr,9,0
1300 E @ 1749 S,9,0
3200 W / 4100 S,9,0
9400 S @ 1108 E,9,0
5400 S / 4800 W,9,0
State St @ 4195 S,9,0
2700 W @ 4345 S,9,0
Greenwood Ter / Sunnyside Ave,9,0
1100 E / Wilson Ave,9,0
1300 E @ 4765 S,9,0
Sandy Civic Center Station,9,0
3800 S @ 2511 W,9,0
7200 S @ 90 W,9,0
1100 E / 1300 S,9,0
12300 S / 210 E,9,0
State St @ 1029 S,9,0
1300 E @ 3849 S,9,0
Union Park Ave @ 7184 S,9,0
8400 W / Robin St,9,0
Redwood Rd / 5000 S,9,0
Fort Union Blvd @ 2335 E,9,0
1300 E / Wilmington Ave,9,0
Redwood Rd / 900 N,9,0
1300 E @ 1503 S,9,0
Redwood Rd / 4200 S,9,0
900 E / Wilson Ave,9,0
Murray Holladay Rd @ 2161 E,9,0
900 S / Amanda Ave,9,0
5600 W / 6200 S,9,0
1300 E @ 1335 S,9,0
4500 S @ 787 E,9,0
3300 S @ 1001 E,9,0
2100 S / 800 E,9,0
500 E / Farmer Alumni Dr,9,0
Chipeta Way / Tabby Ln,9,0
Foothill Dr @ 1445 S,9,0
3500 S / 4600 W,9,0
Highland Dr @ 8089 S,9,0
6200 S @ 3690 W,9,0
Foothill Dr @ 1825 S,9,0
1300 E @ 4389 S,9,0
1300 E @ 4711 S,9,0
300 W @ 701 N,9,0
2300 E @ 4510 S,9,0
600 N / 1000 W,9,0
Main St / North Temple,8,1
Winchester St / 640 E,8,0
800 W / 800 S,8,0
300 W / 900 S,8,0
Main St / 200 N,8,0
4700 S @ 4975 W,8,0
Beck Street @ 1765 N    (Salt Lake),8,0
Highland Dr @ 4805 S,8,0
Redwood Rd / 700 S,8,0
Murray Holladay Rd @ 1635 E,8,0
4000 W @ 4135 S,8,0
Vine St / Commerce Dr,8,0
Atherton Dr @ 4440 S,8,0
4700 S @ 3189 W,8,0
Magna Main St / 8700 W,8,0
1300 E @ 4550 S,8,0
2100 S / 2000 E,8,0
Guardsman Way / 500 S,8,0
Highland Dr @ 4675 S,8,0
Meadowbrook Expwy @ 1035 W,8,0
Main St / 4500 S,8,0
Bennion Blvd @ 1652 W,8,0
3500 S / Oquirlane St,8,0
2300 E @ 4626 S,8,0
9th Ave / E St,8,0
900 W / 1750 S,8,0
3900 S @ 201 E,8,0
State St @ 1135 S,8,0
Fort Union Blvd @ 2285 E,8,0
State St @ 503 S,8,0
State St @ 4068 S,8,0
Redwood Rd / 600 S,8,0
Greenwood Ter / 900 S,8,0
Redwood Rd / Crystal Ridge,8,0
Silver Fork Lodge (Up),8,0
State St @ 4949 S,8,0
Winchester St / 800 E,8,0
Foothill Dr / Mario Capecchi,8,0
300 W / Fayette Ave,8,0
4100 S / 3600 W,8,0
5400 S / 1900 W,8,0
3900 S @ 1112 E,8,0
Atherton Dr @ 4533 S,8,0
900 E / 5800 S,8,0
9th Ave / I St,8,0
State St @ 4930 S,8,0
Highland Dr @ 8633 S,8,0
9150 W / Magna Main St,8,0
900 W / 3300 S,8,0
900 E / Belmont Ave,8,0
900 E / 3385 S,8,0
3100 S / 8950 W,8,0
Redwood Rd / 4900 S,8,0
Cottonwood St / Woodrow St,8,0
L St / 3rd Ave,8,0
3500 S / Stanton Dr,8,0
3900 S @ 547 W,8,0
1300 E @ 2185 S,8,0
900 E / Scott Ave,8,0
Union Park Ave @ 7175 S,8,0
3rd Ave / G St,8,0
400 S @ 306 W,7,1
4000 W @ 4122 S,7,0
Highland Dr @ 3125 S,7,0
5400 S / Ridgecrest Dr,7,0
4100 S / 4000 W,7,0
2200 W @ 3874 S,7,0
Lodestone Ave / 5625 W,7,0
Vine St @ 34 E,7,0
State St @ 2547 S,7,0
900 E / Stratford Ave,7,0
3900 S @ 3077 E,7,0
1700 S @ 314 E,7,0
Magna Main St / 8800 W,7,0
3100 S / 8400 W,7,0
6200 S @ 2315 W,7,0
4700 S @ 4655 W,7,0
4000 W @ 6145 S,7,0
900 E / Princeton Ave,7,0
5400 S / 700 W,7,0
3800 S @ 2311 W,7,0
Foothill Dr @ 2278 S,7,0
2300 E @ 4657 S,7,0
1300 E @ 1875 S,7,0
Magna Main St / 8590 W,7,0
Clernates Dr @ 6598 S,7,0
3900 S @ 2225 E,7,0
State St @ 6150 S,7,0
900 E / 4200 S,7,0
Murray Holladay Rd @ 1885 E,7,0
State St @ 5020 S,7,0
4700 S @ 5265 W,7,0
State St @ 5025 S,7,0
Highland Dr / Parkway Ave,7,0
4100 S / 4800 W,7,0
Meadowbrook Expwy @ 1151 W,7,0
Redwood Rd / 7100 S,7,0
Copper City Dr / Plumbago Ave,7,0
6200 S @ 3816 W,7,0
4000 W @ 5865 S,7,0
1820 S / 3600 W,7,0
3rd Ave / K St,7,0
3300 S / West Temple,7,0
Fort Union Blvd @ 305 E,7,0
Fort Union Blvd @ 671 E,7,0
9400 S @ 1356 E,7,0
4000 W @ 4390 S,7,0
Redwood Rd @ 8936 S,7,0
3300 S @ 401 E,7,0
Jordan Landing Blvd / 7800 S NB,7,0
1820 S / 3350 W,7,0
400 S @ 285 W,6,1
400 S @ 198 W,6,1
4500 S @ 501 E,6,0
3300 S @ 2103 E,6,0
State St @ 8531 S,6,0
Winchester St / 370 E,6,0
2nd Ave / C St,6,0
1300 E @ 5780 S,6,0
900 E / Yale Ave,6,0
4700 S @ 2750 W,6,0
3900 S @ 2312 E,6,0
West Temple / 150 S,6,0
500 E / Garden Ave,6,0
Fort Union Blvd @ 1860 E,6,0
3900 S @ 612 W,6,0
900 E / White Maple Way,6,0
3900 S @ 1580 E,6,0
700 W / 3500 S,6,0
2nd Ave / Canyon Rd,6,0
Highland Dr @ 7215 S,6,0
3000 E @ 6967 S,6,0
3500 S / 6555 W,6,0
300 W / 600 N,6,0
4000 W @ 6015 S,6,0
9th Ave / G St,6,0
Atherton Dr @ 1025 W,6,0
1300 E @ 1165 S,6,0
Fort Union Blvd @ 2344 E,6,0
Winchester St / 525 E,6,0
Gregson Ave / West Temple,6,0
5400 S / 1070 W,6,0
Bruin Blvd @ 2090 W,6,0
1700 S @ 920 E,6,0
9150 W / 2900 S,6,0
Dixie Dr @ 6267 S,6,0
1700 S / Fremont Dr,6,0
4700 S @ 5407 W,6,0
Highland Dr @ 3687 S,6,0
900 E / Garfield Ave,6,0
Highland Dr @ 2907 S,6,0
Cougar Ln @ 6865 S,6,0
Murray Blvd / Vine St,6,0
Alabama Ave @ 3639 W,6,0
State St @ 5615 S,6,0
900 W / 900 S,6,0
Highland Dr @ 3961 S,6,0
4800 W @ 3550 S,6,0
9150 W / 3000 S,6,0
Fort Union Blvd @ 2181 E,6,0
Cottonwood Pkwy @ 2916 E,6,0
Silver Lake / Brighton Store (Up),6,0
1300 E @ 5581 S,6,0
South Union Ave @ 1165 E,6,0
900 E / Gregson Ave,6,0
4015 W @ 5338 S,6,0
500 E / Millcreek Way,6,0
4000 W @ 4071 S,6,0
900 E / Springview Dr,6,0
Cottonwood Pkwy @ 2955 E,6,0
Fort Union Blvd @ 1445 E,6,0
3300 S @ 398 E,6,0
State St @ 4400 S,6,0
1300 E @ 7075 S,6,0
West Temple / Broadway,5,1
State St @ 4824 S,5,0
900 E / Southwood Dr,5,0
2300 E @ 3883 S,5,0
7800 S @ 530 E,5,0
900 W / Fremont Ave,5,0
Redwood Rd @ 9375 S,5,0
3500 S / Wing Pointe Dr,5,0
3rd Ave / M St,5,0
900 E / Atkin Ave,5,0
500 E / 4200 S,5,0
3900 S @ 1965 E,5,0
Highland Dr @ 4285 S,5,0
4015 W @ 4878 S,5,0
900 W / Colmar Ave,5,0
Wasatch Blvd @ 3491 S,5,0
Clernates Dr @ 6394 S,5,0
State St @ 4608 S,5,0
4015 W @ 5493 S,5,0
Cougar Ln @ 6425 S,5,0
3500 S / 5450 W,5,0
L St / 6th Ave,5,0
Redwood Rd @ 9843 S,5,0
STATE ST @ 575 S,5,0
6200 S @ 4653 W,5,0
3900 S @ 718 E,5,0
1000 E @ 7778 S,5,0
1100 E / Yale Ave,5,0
900 E / Searle Ave,5,0
4015 W @ 5781 S,5,0
4500 S @ 2685 E,5,0
Dixie Dr @ 6741 S,5,0
2400 S / Presidents Dr,5,0
State St @ 6300 S,5,0
3200 W / 3650 S,5,0
3300 S @ 988 E,5,0
3800 S @ 2314 W,5,0
